"RegionName","State","Metro","CountyName","SizeRank","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06"
"Virginia Beach","VA","Virginia Beach","Virginia Beach City",11,,,,,,,,,,,,,,,,,,,2400,2200,2250,2097.5,2200,2050,2025,2150,2195,2100,2022.5,2200,2250,2395,2250,2047.5,1990,1999.5,2295,2000,1895,1987.5,2000,2200,2300,2300,2200,2100,2295,2200,2200,2197.5,2247.5,2100,2100,2395,2395,2295,2150,2100,2095,2095,2100,2100,2200,2200,2495,2400,2350,2250
"Colorado Springs","CO","Colorado Springs","El Paso",12,,,,,,,,1872.5,1570,1500,1550,1595,1650,1595,1500,1500,1697.5,1875,1700,1650,1612.5,1650,1600,1600,1600,1600,1637,1650,1695,1795,1795,1650,1600,1650,1650,1650,1600,1650,1600,1650,1697.5,1712.5,1795,1850,1850,1885,1795,1750,1750,1700,1799.5,1850,1850,1972.5,1997.5,1950,1862.5,1895,1895,1800,1800,1772.5,1825,1800,1825,1825,1950,1900
"Honolulu","HI","Urban Honolulu","Honolulu",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2900,2700,2800,2750,2700,2375,2300,2300,2500,2500,2487.5,2600
"Pittsburgh","PA","Pittsburgh","Allegheny",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1399.5,1397.5,1400,1400,1390,1392.5,1497.5,1325,1350,1200,1250,1397.5,1262.5,1240,1300,1392.5,1300,1372.5,1395,1395,1400,1250,1174.5,1250,1312.5,1250,1362.5,1312.5,1374.5,1355,1350,1200
"Buffalo","NY","Buffalo","Erie",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750,675,675,650,700,700,700,660,700,762.5,795,795,750,750,800,772.5,750,750,750,800,812.5,800,800,787.5,800,900,900,995,900
"Henderson","NV","Las Vegas","Clark",16,,,,,,,,,2295,2200,2095,2000,2150,2147.5,2100,2200,2200,2300,2100,2095,2000,2050,1900,1995,2074.5,2099.5,2200,2100,2050,2100,2000,2200,2200,2200,2185,2100,2175,2125,2095,2100,2000,2000,2000,1997.5,2000,2000,2000,1995,1950,2147.5,2000,2299,2100,2200,2395,2347.5,2400,2207.5,2247.5,2100,2000,2095,2095,2005,2100,2197.5,2075,2307.5
"Orlando","FL","Orlando","Orange",17,,,,,,,,,,,,,,,,,,,,,,,,,1700,1762.5,1725,1737.5,1762.5,1899,1850,1850,1800,1895,1900,1895,1850,1850,1850,1800,1800,1795,1850,1900,1895,1800,1800,1800,1825,1795,1800,1797.5,1825,1860,1855,1975,1987.5,1945,1995,1995,1900,1895,1900,1895,1800,2025,1897.5,1995
"Boise","ID","Boise City","Ada",18,,,,,,,,,,,,,,,,637.5,650,650,700,695,675,725,695,720,675,675,690,690,685,685,677.5,690,697.5,695,685,690,690,695,725,725,695,725,695,775,750,775,837.5,835,850,925,872.5,785,807.5,795,835,950,895,860,825,825,810,775,815,750,750,750,810,862.5
"New Haven","CT","New Haven","New Haven",19,,,,,,,,1150,1150,1125,1177.5,1200,1200,1112.5,1200,1112.5,1112.5,1250,1222.5,1222.5,1200,1200,1197.5,1112.5,1150,1150,1150,1150,1200,1187.5,1137.5,1175,1175,1200,1175,1137.5,1125,1100,1197.5,1175,1150,1200,1137.5,1197.5,1250,1200,1200,1200,1200,1195,1197.5,1200,1200,1200,1262.5,1275,1287.5,1350,1200,1200,1250,1250,1200,1262.5,1297.5,1375,1195,1325
"Cumming","GA","Atlanta","Forsyth",20,,,,,,,,,,,,,,,,,,,,,,,,,,,,2250,2150,2150,2040,1962.5,2000,1950,2000,1962.5,1950,1962.5,1875,1775,1697.5,1825,1985,2225,2300,2200,2200,2197.5,2200,2200,2200,2200,1997.5,2100,2150,2275,2400,2250,2200,2047.5,2100,2197.5,2200,2100,2200,2200,2200,2400
"Waterbury","CT","New Haven","New Haven",21,775,750,750,799.5,750,762.5,750,750,725,720,750,795,775,775,800,787.5,800,785,762.5,775,775,775,775,775,795,795,775,775,775,797.5,800,800,800,825,800,800,825,800,800,800,800,800,800,825,800,800,825,850,850,825,825,850,850,850,825,850,850,850,825,850,850,850,850,850,800,825,800,825
"Greenwich","CT","Stamford","Fairfield",22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,10250,11000,10000,9500,10500,9000,9000,10250,11000,11000,11500,10000,11700,11997.5,10775,11700,10500,11900,12000,11000,11900,10000,9500,10000,10500,9850,9750,11200,10825,9675,9950,10250,10500
"Eastvale","CA","Riverside","Riverside",23,,,,,2500,2499.5,2499,2500,2495,2400,2475,2500,2497.5,2495,2500,2500,2495,2499,2425,2450,2500,2500,2474.5,2500,2500,2450,2495,2450,2400,2400,2450,2450,2500,2500,2500,2480,2425,2450,2495,2500,2495,2495,2500,2500,2500,2500,2500,2450,2500,2500,2500,2500,2600,2575,2600,2600,2600,2600,2600,2600,2650,2600,2600,2600,2650,2600,2600,2697.5
"Brookline","MA","Boston","Norfolk",24,,,,,,,,,,,,,,3600,4000,3700,4000,3700,4000,3600,3500,3200,3200,3625,3695,3700,3700,3800,3800,3800,3875,3800,3950,3850,3700,3699,3700,3900,4200,4500,4500,4500,4000,4400,4500,4490,4500,4200,4000,4000,4000,4000,4000,4000,4000,3800,3700,3700,3695,3600,4000,4200,4500,4800,4600,4375,4500,4300
